MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.0574,44.0,5.9457,1.3164,386.0,2.3622,36.05813112904994,-120.99106965505757,3.1868
4.3837,32.0,3.0833,0.4684,1409.0,5.6957,41.5317859108942,-120.81499009036251,3.3467
3.7696,28.0,5.9371,1.3012,5647.0,3.3713,39.45394244720835,-123.95817329735571,2.8414
0.5,48.0,8.5704,1.0556,2962.0,1.4372,38.18725559987185,-123.24950953303907,1.2423
5.1265,3.0,7.2361,1.4748,960.0,4.5317,33.982177084203144,-122.4717652832214,3.7327
4.7627,7.0,3.9325,0.5335,173.0,1.7093,33.98194794319392,-115.70293629649382,3.5331
2.1094,6.0,4.3603,0.7624,3270.0,6.7965,33.051794315597895,-123.83427910563204,0.497
0.6825,29.0,2.871,0.4601,3109.0,3.8678,40.728673384861885,-121.36364053588393,2.1726
3.2211,45.0,4.8785,1.0803,3047.0,5.4031,38.210592611560486,-124.39316247281269,2.6238
3.4167,14.0,2.4011,0.5357,219.0,2.1678,39.22668948906243,-117.19590867326824,2.2983
1.997,45.0,3.0998,0.7153,248.0,2.5099,32.69555269581012,-117.98681755454452,1.6286
3.0978,40.0,4.2021,0.5128,156.0,3.1063,41.71414359553894,-117.72768624844201,2.0272
5.7563,19.0,3.6837,0.849,1601.0,2.8771,40.408205087604,-120.5689807604965,3.1932
14.5598,46.0,6.1809,0.936,1479.0,2.6828,34.517221551443626,-122.31318787669052,5.0
3.0127,25.0,8.5912,1.9636,1242.0,1.391,34.22733718846746,-116.93663776049665,1.4427
3.434,37.0,5.3792,1.2304,1512.0,3.9598,34.242342843607624,-115.98326233622271,3.1378
1.5271,18.0,7.4193,1.1055,563.0,3.4492,35.39030130811561,-123.04468426996888,1.548
1.9137,4.0,4.8672,0.7397,294.0,5.6203,37.48518610050626,-119.38829100665707,1.4594
2.4714,1.0,5.9015,0.8325,454.0,2.1253,36.6034776771001,-121.88848533922194,1.7214
6.1991,33.0,4.8235,0.6909,1281.0,2.7621,35.2666768318814,-122.7348779573356,3.9549
4.8224,28.0,6.8688,1.6769,309.0,3.4256,38.31260249986261,-116.78958420830251,3.0445
10.4913,41.0,9.1333,1.5528,1510.0,2.8249,33.8251916761944,-118.84998217753521,5.0
0.9578,19.0,6.9206,0.8663,1630.0,2.3945,35.27537416108457,-122.23005401002399,1.6656
1.0761,33.0,2.675,0.4355,608.0,2.7326,35.98043751129007,-121.24499988227878,1.1828
5.8794,15.0,3.2001,0.4043,274.0,4.2179,36.83266485006184,-114.3501364510587,4.1197
7.4947,45.0,5.5724,1.3797,856.0,3.8919,39.95917163323363,-115.58886457056016,3.0492
2.7821,23.0,5.1437,1.062,812.0,4.5617,34.396900930504415,-115.26055919983216,2.3545
0.5,29.0,7.4971,1.399,4511.0,2.1878,37.38522716492931,-119.66987298065257,0.9519
1.6153,39.0,4.5618,0.6142,521.0,3.4103,38.1279384041894,-117.95002372883081,1.7523
3.4378,14.0,3.6262,0.5607,1496.0,2.1667,32.94127892083998,-120.54393872785367,2.2023
1.4483,30.0,3.9558,0.8711,891.0,4.6048,38.27167609306366,-123.68402425526665,1.2864
3.0944,2.0,4.0864,0.9695,1053.0,6.1189,34.11997917502927,-120.28877223810379,2.2684
10.2676,13.0,5.2586,1.1919,446.0,3.0581,33.11799013336015,-118.26320209132498,5.0
7.3765,40.0,5.771,1.1942,180.0,1.8592,41.51441260390666,-121.48498515693461,4.4636
4.7885,28.0,7.5675,1.4421,995.0,2.2264,41.673504314208316,-115.59651896536214,3.4479
2.5984,31.0,3.0909,0.5576,1332.0,1.7464,40.179774807106384,-122.91344832866672,2.0554
1.9227,12.0,3.8844,0.5456,82.0,2.5762,35.39383080714702,-120.64514456091234,1.9142
4.6201,13.0,7.4061,1.0026,364.0,3.7355,33.427885083060644,-123.18850899409587,2.3902
2.767,3.0,6.4308,1.4468,183.0,2.5668,39.00021375186549,-120.24926259315514,1.908
2.8343,29.0,7.1024,1.5813,1553.0,1.6036,36.68144869052621,-124.08355629777016,2.3095
0.9177,51.0,6.5562,0.802,1679.0,3.95,33.659363231025395,-121.63823135185272,2.2497
1.6484,30.0,3.3399,0.6266,564.0,1.7547,37.20418064605707,-120.29227982130632,1.7791
4.6011,12.0,9.5697,1.3369,392.0,5.5598,32.826690950594575,-119.47926368559474,3.1556
1.2577,21.0,3.4467,0.7572,621.0,2.9501,41.13854381974843,-118.79118823601101,1.9173
3.2739,2.0,5.5842,0.8034,726.0,3.1783,34.958409825200164,-121.61259313720585,2.3667
3.6283,50.0,9.2814,1.7323,544.0,4.9818,38.79396170136283,-119.00806598654384,3.5715
